x0000,y0000
274,-2.822875977e-06,
275,-2.822875977e-06,
276,-2.822875977e-06,
277,-2.822875977e-06,
278,-2.822875977e-06,
279,-2.822875977e-06,
280,-2.822875977e-06,
281,-2.822875977e-06,
282,-2.822875977e-06,
283,-2.822875977e-06,
284,-2.822875977e-06,
285,-2.822875977e-06,
286,-4.501342773e-06,
287,-4.501342773e-06,
288,-4.501342773e-06,
289,-4.501342773e-06,
290,-4.501342773e-06,
291,-4.501342773e-06,
292,-4.501342773e-06,
293,-4.501342773e-06,
294,-4.501342773e-06,
295,-4.501342773e-06,
296,-4.501342773e-06,
297,-4.501342773e-06,
298,-4.501342773e-06,
299,-5.989074707e-06,
300,-5.989074707e-06,
301,-5.989074707e-06,
302,-5.989074707e-06,
303,-5.989074707e-06,
304,-5.989074707e-06,
305,-5.989074707e-06,
306,-5.989074707e-06,
307,-5.989074707e-06,
308,-5.989074707e-06,
309,-5.989074707e-06,
310,-5.989074707e-06,
311,-5.989074707e-06,
312,-4.730224609e-06,
313,-4.730224609e-06,
314,-4.730224609e-06,
315,-4.730224609e-06,
316,-4.730224609e-06,
317,-4.730224609e-06,
318,-4.730224609e-06,
319,-4.730224609e-06,
320,-4.730224609e-06,
321,-4.730224609e-06,
322,-4.730224609e-06,
323,-4.730224609e-06,
324,-4.730224609e-06,
325,-1.087188721e-05,
326,-1.087188721e-05,
327,-1.087188721e-05,
328,-1.087188721e-05,
329,-1.087188721e-05,
330,-1.087188721e-05,
331,-1.087188721e-05,
332,-1.087188721e-05,
333,-1.087188721e-05,
334,-1.087188721e-05,
335,-1.087188721e-05,
336,-1.087188721e-05,
337,-1.087188721e-05,
338,-2.220153809e-05,
339,-2.220153809e-05,
340,-2.220153809e-05,
341,-2.220153809e-05,
342,-2.220153809e-05,
343,-2.220153809e-05,
344,-2.220153809e-05,
345,-2.220153809e-05,
346,-2.220153809e-05,
347,-2.220153809e-05,
348,-2.220153809e-05,
349,-2.220153809e-05,
350,-2.220153809e-05,
351,-1.556396484e-05,
352,-1.556396484e-05,
353,-1.556396484e-05,
354,-1.556396484e-05,
355,-1.556396484e-05,
356,-1.556396484e-05,
357,-1.556396484e-05,
358,-1.556396484e-05,
359,-1.556396484e-05,
360,-1.556396484e-05,
361,-1.556396484e-05,
362,-1.556396484e-05,
363,-1.556396484e-05,
364,-1.083374023e-05,
365,-1.083374023e-05,
366,-1.083374023e-05,
367,-1.083374023e-05,
368,-1.083374023e-05,
369,-1.083374023e-05,
370,-1.083374023e-05,
371,-1.083374023e-05,
372,-1.083374023e-05,
373,-1.083374023e-05,
374,-1.083374023e-05,
375,-1.083374023e-05,
376,-1.083374023e-05,
377,-1.461029053e-05,
378,-1.461029053e-05,
379,-1.461029053e-05,
380,-1.461029053e-05,
381,-1.461029053e-05,
382,-1.461029053e-05,
383,-1.461029053e-05,
384,-1.461029053e-05,
385,-1.461029053e-05,
386,-1.461029053e-05,
387,-1.461029053e-05,
388,-1.461029053e-05,
389,-1.461029053e-05,
390,-1.403808594e-05,
391,-1.403808594e-05,
392,-1.403808594e-05,
393,-1.403808594e-05,
394,-1.403808594e-05,
395,-1.403808594e-05,
396,-1.403808594e-05,
397,-1.403808594e-05,
398,-1.403808594e-05,
399,-1.403808594e-05,
400,-1.403808594e-05,
401,-1.403808594e-05,
402,-1.403808594e-05,
403,-1.693725586e-05,
404,-1.693725586e-05,
405,-1.693725586e-05,
406,-1.693725586e-05,
407,-1.693725586e-05,
408,-1.693725586e-05,
409,-1.693725586e-05,
410,-1.693725586e-05,
411,-1.693725586e-05,
412,-1.693725586e-05,
413,-1.693725586e-05,
414,-1.693725586e-05,
415,-1.693725586e-05,
416,-1.441955566e-05,
417,-1.441955566e-05,
418,-1.441955566e-05,
