
#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
6600.0	0.00174428911351	-1.37884794776e-05	1512043738.8700342	
6700.0	0.00170919389867	-1.21523159653e-05	1512043740.5849524	
6800.0	0.00172608332847	-1.10929119053e-05	1512043742.3045676	
6900.0	0.00169596657824	-1.07294338853e-05	1512043744.023581	
7000.0	0.00170288541424	-1.41359585435e-05	1512043745.7838085	
7100.0	0.0017201802268	-1.37988417896e-05	1512043747.4982047	
7200.0	0.00167043201959	-1.4574648729e-05	1512043749.2172697	
7300.0	0.00170827837133	-1.51252746582e-05	1512043750.9368014	
7400.0	0.00178009033203	-2.08687853457e-05	1512043752.6549733	
7500.0	0.00171956532037	-1.75499987246e-05	1512043754.3735883	
7600.0	0.00172424771892	-2.42449062974e-05	1512043756.1131215	
7700.0	0.00169962868762	-2.13648098618e-05	1512043757.832068	
7800.0	0.00172684171307	-2.41373546088e-05	1512043759.5508866	
7900.0	0.00170084939074	-4.40606074547e-05	1512043761.2706912	
8000.0	0.00170817360949	-4.82746522818e-05	1512043762.9973543	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
8100.0	0.00171041004693	-7.51752711054e-05	1512043772.13262	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
8200.0	0.00173543901586	-1.65100097656e-05	1512043787.2248778	
8300.0	0.00164703369141	-1.01013183594e-05	1512043788.9427278	
8400.0	0.00166128130101	-1.14545679804e-05	1512043790.661786	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
8100.0	0.00159505360162	-3.52478027344e-06	1512043815.9643757	
8200.0	0.0016631123557	-2.48262775478e-06	1512043817.6846232	
8300.0	0.00167266845703	-6.17878472627e-06	1512043819.4221442	
8400.0	0.00168294422662	-5.39318483267e-06	1512043821.1401832	
8500.0	0.00168498480498	-6.61821507696e-06	1512043822.8857443	
8600.0	0.00168467507434	-2.05764770508e-05	1512043824.6038742	
8700.0	0.00168106534588	-2.15119319176e-05	1512043826.3231397	
8800.0	0.0016937301408	-1.27971136748e-05	1512043828.0425172	
8900.0	0.00153381347656	-1.30066373455e-05	1512043829.7689965	
9000.0	0.00170104980469	-1.80337251122e-05	1512043831.4871564	
9100.0	0.00171153054309	-8.69249941698e-06	1512043833.2298648	
9200.0	0.00166056618762	-5.91016171583e-06	1512043834.9437387	
9300.0	0.00173645019531	-1.58053725513e-05	1512043836.6629596	
9400.0	0.00168955788684	-1.32026103005e-05	1512043838.3813696	
9500.0	0.00167999723064	-6.87408447266e-06	1512043840.1121747	
9600.0	0.00165945024633	-4.79125976563e-06	1512043841.8329868	
9700.0	0.00162598111736	-5.11214982218e-06	1512043843.5628793	
9800.0	0.00163828835559	-5.54531723706e-06	1512043845.2826116	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat	=
position	ref	signal	Time
9900.0	0.00165273182428	-8.26513945167e-06	1512043856.7647412	
10000.0	0.00166656949627	-9.8711270005e-06	1512043858.4771793	
10100.0	0.00165253141033	-5.93162650493e-06	1512043860.198368	
10200.0	0.00163920388293	-8.7733482247e-06	1512043861.9168468	
10300.0	0.00169495084392	-3.67127603559e-06	1512043863.6472373	
10400.0	0.00173859553551	-4.95364061042e-06	1512043865.3674722	
10500.0	0.00170461170709	-5.19766736386e-06	1512043867.0854564	
10600.0	0.00168213346111	-6.17064290972e-06	1512043868.8040202	
10700.0	0.00175476985191	-7.05588041846e-06	1512043870.5533214	
10800.0	0.00170603737902	-5.92792567922e-06	1512043872.264697	
10900.0	0.00171102495336	-5.9391420279e-06	1512043873.9831884	
11000.0	0.00175242409777	-6.30939540578e-06	1512043875.7033594	
11100.0	0.00175089821887	-1.02195739746e-05	1512043877.436008	
11200.0	0.0017628046292	-5.95593808302e-06	1512043879.1539958	
11300.0	0.00171783447266	-7.72464809133e-06	1512043880.8739028	
11400.0	0.0017598485235	-9.2479079517e-06	1512043882.5935683	
11500.0	0.00176239469158	-8.92844128965e-06	1512043884.320638	
11600.0	0.00173513384008	-1.02551019014e-05	1512043886.039232	
11700.0	0.00173035123455	-9.06992670315e-06	1512043887.7698767	
11800.0	0.00168488004314	-8.75080165578e-06	1512043889.4898272	
11900.0	0.00171845393394	-4.91071103224e-06	1512043891.207787	
12000.0	0.00172200672662	-6.95407924367e-06	1512043892.9274714	
12100.0	0.00173574419164	-4.54188104886e-06	1512043894.686944	
12200.0	0.00171951293945	-7.02644462016e-06	1512043896.4021034	
12300.0	0.00173004605877	-5.31222215339e-06	1512043898.1203196	
12400.0	0.00176463112902	-5.598666063e-06	1512043899.840698	
12500.0	0.00176361083984	-4.46894631457e-06	1512043901.5854783	
12600.0	0.00177374313127	-5.03278134474e-06	1512043903.3023744	
12700.0	0.00181519010174	-5.88812756894e-06	1512043905.029914	
12800.0	0.0017572067033	-4.1907011573e-06	1512043906.749955	
12900.0	0.00177714333605	-5.3596496582e-06	1512043908.4862869	
13000.0	0.00177236528539	-3.60357939307e-06	1512043910.2046115	
13100.0	0.00178019964873	-3.95060297269e-06	1512043911.9345076	
13200.0	0.00165568337512	-4.20880673537e-06	1512043913.6542172	
13300.0	0.00179779508221	-5.00106811523e-06	1512043915.3740454	
13400.0	0.00177103982043	-3.2004171343e-06	1512043917.0928671	
13500.0	0.00175191850805	-4.27735741459e-06	1512043918.8270476	
13600.0	0.00178376155113	-5.78655413727e-06	1512043920.5465026	
13700.0	0.00179077603924	-5.15342826274e-06	1512043922.2759745	
13800.0	0.00173462369549	-4.10153972569e-06	1512043923.9961016	
13900.0	0.0017063425548	-3.78514759576e-06	1512043925.730406	
14000.0	0.00166911566435	-4.44281279151e-06	1512043927.4487834	
14100.0	0.00159383745336	-3.38733730031e-06	1512043929.1802866	
14200.0	0.00171143489097	-5.88465448636e-06	1512043930.9003532	
14300.0	0.00174245805883	-4.60018328766e-06	1512043932.63216	
14400.0	0.00164205067193	-5.55027064992e-06	1512043934.3510404	
14500.0	0.00165486805475	-5.92137806451e-06	1512043936.0964508	
14600.0	0.00168182828533	-5.78678188039e-06	1512043937.8165944	
14700.0	0.00169871316027	-7.77150623834e-06	1512043939.5347655	
14800.0	0.00162628629314	-6.80388265581e-06	1512043941.254182	
14900.0	0.0017119404807	-8.76429543566e-06	1512043943.0028756	
15000.0	0.001667075086	-9.96006068899e-06	1512043944.719033	
15100.0	0.00171794834422	-1.36200634401e-05	1512043946.4510546	
15200.0	0.00170430653131	-1.49264549141e-05	1512043948.1704814	
15300.0	0.00166834817004	-1.0498046875e-05	1512043949.8962069	
15400.0	0.00167237239097	-1.10880154282e-05	1512043951.6141243	
15500.0	0.00166483864855	-1.27319222066e-05	1512043953.3479848	
15600.0	0.0016706369884	-1.49493430977e-05	1512043955.0677369	
15700.0	0.00169779763293	-2.23324334444e-05	1512043956.8007476	
15800.0	0.0016817235235	-1.94789260181e-05	1512043958.5194442	
15900.0	0.00166941628527	-1.74127834946e-05	1512043960.2605674	
16000.0	0.00164866433215	-1.85786574634e-05	1512043961.9800274	
16100.0	0.00159637451172	-1.84438335362e-05	1512043963.707117	
16200.0	0.00174133756267	-1.84998583438e-05	1512043965.42661	
16300.0	0.00170329079699	-1.80039476992e-05	1512043967.155757	
16400.0	0.00172200672662	-1.62872200582e-05	1512043968.874269	
16500.0	0.00164784901178	-1.9267694274e-05	1512043970.5957832	
16600.0	0.00163686268365	-1.28007006289e-05	1512043972.3128707	
16700.0	0.00160085194146	-1.43749749483e-05	1512043974.0330696	
16800.0	0.00164307096111	-1.21980923325e-05	1512043975.7515893	
16900.0	0.00172730858646	-1.19754164966e-05	1512043977.476535	
17000.0	0.00170369617975	-1.42923611314e-05	1512043979.19713	
17100.0	0.00165690407824	-1.09188592256e-05	1512043980.9292955	
17200.0	0.00169860839844	-1.18712240191e-05	1512043982.6478007	
17300.0	0.00176738682078	-1.0219460103e-05	1512043984.3727815	
17400.0	0.00171010487115	-1.08667629868e-05	1512043986.0923712	
17500.0	0.00170497381865	-1.09975444737e-05	1512043987.826546	
17600.0	0.00167562456273	-8.14819335938e-06	1512043989.5460002	
17700.0	0.00165863037109	-8.16965814847e-06	1512043991.2923553	
17800.0	0.00166178689074	-6.89042504154e-06	1512043993.0136933	
17900.0	0.00159668424236	-7.79439442193e-06	1512043994.740478	
18000.0	0.00160705566406	-6.57773373732e-06	1512043996.4602485	
18100.0	0.00162689664471	-5.34416312602e-06	1512043998.1927416	
18200.0	0.0017077727816	-5.27191162109e-06	1512043999.9109795	
18300.0	0.0016497848283	-6.41501127784e-06	1512044001.650141	
18400.0	0.00165619351971	-4.06253871633e-06	1512044003.3704998	
18500.0	0.00163859808623	-2.91277757332e-06	1512044005.0887787	
18600.0	0.00160410866809	-2.78842982961e-06	1512044006.807221	
18700.0	0.00163004860949	-3.16739438185e-06	1512044008.5410016	
18800.0	0.00165293679309	-3.08478056495e-06	1512044010.2607908	
18900.0	0.00157755837512	-2.17175839552e-06	1512044011.9961889	
19000.0	0.00153300726592	-1.76085287066e-06	1512044013.7164023	
19100.0	0.00158305153918	-2.65371977393e-06	1512044015.450534	
19200.0	0.00161397905492	-2.42461019488e-06	1512044017.1690564	
19300.0	0.00168162331652	-3.87419515581e-06	1512044018.9092274	
19400.0	0.00158946023059	-2.54810390188e-06	1512044020.6284375	
19500.0	0.00163289995336	-3.21949062063e-06	1512044022.383019	
19600.0	0.00166026101184	-3.84772001807e-06	1512044024.0963256	
19700.0	0.00159932606256	-1.82974516456e-06	1512044025.8164296	
19800.0	0.00160695545709	-1.24324969391e-06	1512044027.5369265	
19900.0	0.00166514382434	-1.26516996925e-06	1512044029.2679958	
20000.0	0.00178711848472	-3.04532406935e-06	1512044030.9881372	
20100.0	0.00174937233996	-1.36019578621e-06	1512044032.713453	
20200.0	0.00175679676568	-1.52707455763e-06	1512044034.4341307	
20400.0	0.00173248746502	-1.3262051255e-06	1512044037.1558778	
20600.0	0.00168457486736	-1.17350336331e-06	1512044039.8755798	
