
#$Filter:none
0.0	0.000117813110352	-1.51443481445e-06	1511952881.0696418	
0.0	0.000117813110352	-1.51443481445e-06	1511952881.5695791	
0.0	0.000117813110352	-1.51443481445e-06	1511952882.0699542	
0.0	0.000117813110352	-1.51443481445e-06	1511952882.5696943	
0.0	0.000117813110352	-1.51443481445e-06	1511952883.069594	
0.0	0.000117813110352	-1.51443481445e-06	1511952883.5789397	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
0.0	0.000122528076172	-1.92184448242e-06	1511953727.4202821	
0.0	0.000122528076172	-1.92184448242e-06	1511953727.9201329	
0.0	0.000122528076172	-1.92184448242e-06	1511953728.4201126	
0.0	0.000122528076172	-1.92184448242e-06	1511953728.9202285	
0.0	0.000122528076172	-1.92184448242e-06	1511953729.4200776	
0.0	0.000122528076172	-1.92184448242e-06	1511953729.9202316	
0.0	0.000122528076172	-1.92184448242e-06	1511953730.4200792	
0.0	0.000122528076172	-1.92184448242e-06	1511953730.9202416	
0.0	0.000122528076172	-1.92184448242e-06	1511953731.4201028	
0.0	0.000122528076172	-1.92184448242e-06	1511953731.9200995	
0.0	0.000122528076172	-1.92184448242e-06	1511953732.4200687	
0.0	0.000122528076172	-1.92184448242e-06	1511953732.9200666	
0.0	0.000122528076172	-1.92184448242e-06	1511953733.4201002	

#$Filter:none
#$	0	1	 1
#$	1	op06	0.251188643150958
#$	2	op09*op09	0.015848931924611138
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:19.8, mW
#$WAVELENGTH:1064,nm
#$OBJECT:PVDF40, bscat
position	ref	signal	Time
0.0	0.000115036010742	-1.85546875e-06	1511953734.9701319	
66.0	0.000115036010742	-1.85546875e-06	1511953735.470667	
66.0	0.000115036010742	-1.85546875e-06	1511953735.9701707	
177.0	0.000115036010742	-1.85546875e-06	1511953736.47018	
177.0	0.000115036010742	-1.85546875e-06	1511953736.970204	
288.0	0.000115036010742	-1.85546875e-06	1511953737.4701192	
288.0	0.000115036010742	-1.85546875e-06	1511953737.9701579	
288.0	0.000115036010742	-1.85546875e-06	1511953738.4702747	
399.0	0.000115036010742	-1.85546875e-06	1511953738.970164	
399.0	0.000115036010742	-1.85546875e-06	1511953739.4701557	
509.0	0.000115036010742	-1.85546875e-06	1511953739.970208	
509.0	0.000111465454102	-1.77459716797e-06	1511953740.4703157	
620.0	0.000111465454102	-1.77459716797e-06	1511953740.9701378	
620.0	0.000111465454102	-1.77459716797e-06	1511953741.4701617	
731.0	0.000111465454102	-1.77459716797e-06	1511953741.9704194	
731.0	0.000111465454102	-1.77459716797e-06	1511953742.4703465	
